Ref,Study,Type,Cranium,Mandible,Cervical,Thoracic,Lumbar,Sacrum,Sternum,Clavicle,Rib,Scapula,Humerus,Radius,Ulna,Carpal,Metacarpal,Innominate,Femur,Patella,Tibia,Fibula,Tarsal,Metatarsal,Hand_phalanx,Foot_phalanx,Hand_metacarpals_manual_phalanges_,Foot_metatarsals_pedal_phalanges_
Pottery_Mound_Pueblo_IV,Pottery_Mound_Pueblo_IV,Primary hominin interment,38,34,254,452,193,39,0,81,901,78,73,77,74,520,416,77,86,68,66,68,434,390,811,423,1227,813
Kuaua_Pueblo_Pueblo_IV,Kuaua_Pueblo_Pueblo_IV,Primary hominin interment,68,64,288,534,252,52,0,103,993,105,129,121,109,388,472,120,133,77,121,104,572,448,721,423,1193,871
Skhul_Layer_B,Skhul_Layer_B_Skhul_II,Possible Primary hominin interment,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Skhul_Layer_B,Skhul_Layer_B_Skhul_III,Possible Primary hominin interment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Skhul_Layer_B,Skhul_Layer_B_Skhul_IV,Possible Primary hominin interment,1,1,0,12,5,1,1,2,17,1,2,2,2,15,10,2,2,2,2,2,13,10,15,17,25,27
Skhul_Layer_B,Skhul_Layer_B_Skhul_V,Possible Primary hominin interment,1,1,7,12,5,1,0,2,15,2,2,2,2,7,4,1,2,0,2,1,0,1,6,0,10,1
Skhul_Layer_B,Skhul_Layer_B_Skhul_VI,Possible Primary hominin interment,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,2,2,0,2,1,4,0,0,0,0,0
Skhul_Layer_B,Skhul_Layer_B_Skhul_VII,Possible Primary hominin interment,1,1,0,0,2,1,1,1,1,1,2,2,2,0,0,2,1,0,2,2,3,1,0,0,0,1
Fontbregoua_H1,Fontbregoua_H1,Hominin canibalism/ secondary interment,7,6,4,0,0,0,0,3,0,2,3,2,0,0,0,0,3,0,2,3,2,0,7,2,7,2
Fontbregoua_H3,Fontbregoua_H3,Hominin canibalism/ secondary interment,0,0,2,0,0,1,0,3,9,6,6,4,5,0,0,1,4,0,9,3,0,0,2,0,2,0
Gran_Dolina_TD6,Gran_Dolina_TD6,Hominin canibalism/ secondary interment,0,2,2,0,0,0,0,1,7,0,1,2,0,2,2,0,1,2,0,0,2,3,5,7,7,10
El_Mirador_MIR4A,El_Mirador_MIR4A,Hominin canibalism/ secondary interment,5,4,1,6,2,0,0,0,7,1,1,0,2,1,1,0,1,0,2,2,3,0,0,0,1,0
Krapina,Krapina,Hominin canibalism/ secondary interment,20,12,22,12,21,0,0,10,63,13,13,9,7,1,4,12,14,15,13,14,18,12,48,32,52,44
AL_333,AL_333_Adults,Nonantrhopogenic hominin accumulation,4,6,4,2,1,0,0,2,4,0,4,1,4,4,19,0,5,0,4,4,9,7,25,23,44,30
Unscavenged_human_corpses_WA,Unscavenged_human_corpses_WA_Adults,Unscavenged human corpses,16,17,119,203,80,17,14,11,402,32,32,38,31,192,NA,34,34,29,33,33,115,NA,NA,NA,467,406
Scavenged_human_corpses_WA,Scavenged_human_corpses_WA_Adults,Scavenged human corpses,44,39,227,418,180,34,27,54,753,55,48,44,39,188,NA,69,65,34,57,51,171,NA,NA,NA,446,595
Mapungubwe_leopard_kills,Mapungubwe_leopard_kills,Leopard refuse,7,6,13,32,30,4,2,2,93,7,12,11,12,27,15,10,13,3,11,9,26,16,39,39,54,55
Leopard_refuse,Leopard_refuse,Leopard refuse,8,8,13,20,13,4,0,0,55,8,15,11,11,27,20,10,15,0,15,11,35,20,59,59,79,79
Misgrot_Cave,Misgrot_Cave,Natural Baboon accumulation,7,4,19,24,10,2,1,3,41,10,10,6,8,24,15,6,10,2,5,2,14,15,37.5,37.5,52.5,52.5
Sima_de_los_Huesos,Sima_de_los_Huesos_Adults,Possible hominin deliberate disposal,13,15,42,46,19,5,4,9,60,14,12,14,13,94,36,18,9,11,10,9,104,33,210,153,246,186
Dinaledi,Dinaledi,Possible hominin deliberate disposal,6,7,7,13,3,1,1,5,28,6,8,6,5,17,23,9,14,4,9,8,34,21,76,32,93,66
